iter	RMSE
378	4.041221257
379	4.03536297
380	4.029474268
381	4.023775938
382	4.021747211
383	4.017302812
384	4.016918826
385	4.013024518
386	4.012615913
387	4.012528605
388	4.011623674
389	4.010029238
390	4.005257379
391	4.003607658
392	4.00328885
393	4.001291295
394	3.997871276
395	3.995582539
396	3.989499758
397	3.987197036
398	3.981674593
399	3.978501694
400	3.976265336
401	3.974978171
402	3.972728375
403	3.970646074
404	3.967153192
405	3.966941182
406	3.962905186
407	3.959674005
408	3.955530316
409	3.951893724
410	3.948973051
411	3.944244697
412	3.938859895
413	3.93372504
414	3.928647317
415	3.927563191
416	3.925651083
417	3.923323492
418	3.918137736
419	3.912588925
420	3.910505423
421	3.907049898
422	3.903487604
423	3.902781569
424	3.898234247
425	3.898026277
426	3.893471419
427	3.890900262
428	3.887697679
429	3.882671316
430	3.878561681
431	3.874742574
432	3.871349942
433	3.871119948
434	3.867414534
435	3.865563533
436	3.863908925
437	3.86005615
438	3.856196295
439	3.853018579
440	3.848361086
441	3.846671733
442	3.844924847
443	3.840509605
444	3.838139159
445	3.832384173
446	3.83218687
447	3.829947456
448	3.8268716
449	3.824496775
450	3.821701579
451	3.817805033
452	3.816660101
453	3.812077056
454	3.809017608
455	3.805173752
456	3.803790822
457	3.801174483
458	3.797175652
459	3.795212142
460	3.791576071
461	3.789777054
462	3.786927696
463	3.784791398
464	3.784669434
465	3.781482094
466	3.7770794
467	3.774697555
468	3.771235695
469	3.766220288
470	3.762658137
471	3.76243598
472	3.759328713
473	3.756261573
474	3.752423521
475	3.752063791
476	3.748373305
477	3.746623218
478	3.744346251
479	3.74203
480	3.740377299
481	3.73709573
482	3.735375878
483	3.733655378
484	3.73326023
485	3.72887305
486	3.724372994
487	3.720490684
488	3.717004037
489	3.714579567
490	3.711850326
491	3.71003299
492	3.706627356
493	3.706206594
494	3.706019029
495	3.702982325
496	3.700632077
497	3.698795193
498	3.696192862
499	3.693038122
500	3.691689946
501	3.688695733
502	3.685374009
503	3.684314029
504	3.680248069
505	3.677767427
506	3.677144682
507	3.676966795
508	3.672556539
509	3.669563432
510	3.665305905
511	3.664781695
512	3.66461001
513	3.664230857
514	3.662765898
515	3.661849944
516	3.656905526
517	3.654215471
518	3.64994908
519	3.649689563
520	3.645574876
521	3.642377092
522	3.64225918
523	3.640821905
524	3.63602501
525	3.631268038
526	3.628462099
527	3.624205953
528	3.621093649
529	3.61902226
530	3.616976941
531	3.612160856
532	3.611800294
533	3.609967448
534	3.609268889
535	3.605611033
536	3.602228659
537	3.601360788
538	3.597606613
539	3.595629665
540	3.592487093
541	3.589575008
542	3.586565245
543	3.583976629
544	3.582175162
545	3.577539021
546	3.573962507
547	3.572264669
548	3.572113191
549	3.571887464
550	3.570386123
551	3.568760128
552	3.564128277
553	3.563787254
554	3.56259369
555	3.560869214
556	3.559876539
557	3.557662672
558	3.557349443
559	3.555514705
560	3.553862567
561	3.552312149
562	3.548926875
563	3.544900262
564	3.540647496
565	3.537731129
566	3.536152919
567	3.531676532
568	3.528283031
569	3.525330944
570	3.522769818
571	3.52034122
572	3.518297523
573	3.51816338
574	3.517960627
575	3.515744233
576	3.511484299
577	3.510252715
578	3.506846728
579	3.50403978
580	3.503012234
581	3.499480619
582	3.495146936
583	3.491332525
584	3.489486142
585	3.489074907
586	3.48533922
587	3.483362487
588	3.483211058
589	3.482563514
590	3.482453389
591	3.480522275
592	3.477886442
593	3.477443974
594	3.476986206
595	3.475673957
596	3.47236781
597	3.472308224
598	3.470856082
599	3.468295588
600	3.466811809
601	3.464485295
602	3.462837292
603	3.459633918
604	3.459359764
605	3.45790524
606	3.454369689
607	3.452357586
608	3.450345807
609	3.449503198
610	3.448057594
611	3.44521494
612	3.44310739
613	3.440733185
614	3.440677227
615	3.436195359
616	3.432361065
617	3.430487827
618	3.428964795
619	3.42588738
620	3.424921853
621	3.421030802
622	3.41883335
623	3.416992916
624	3.415211481
625	3.411555333
626	3.408395989
627	3.406822175
628	3.402417128
629	3.402242698
630	3.398643981
631	3.39807822
632	3.395886908
633	3.393718574
634	3.3914759
635	3.38958281
636	3.387077068
637	3.384858962
638	3.381622376
639	3.379949232
640	3.377632064
641	3.377442275
642	3.373816294
643	3.373735333
644	3.370855534
645	3.367357899
646	3.367219496
647	3.36524582
648	3.361949804
649	3.35958847
650	3.355891664
651	3.355605175
652	3.351528154
653	3.349611501
654	3.348735621
655	3.34434564
656	3.343379872
657	3.339341224
658	3.335539371
659	3.332944207
660	3.331638834
661	3.328735883
662	3.327500265
663	3.324502553
664	3.323092539
665	3.322102677
666	3.31857336
667	3.318021381
668	3.313941565
669	3.313611747
670	3.312044975
671	3.308929469
672	3.30687084
673	3.304362569
674	3.302792988
675	3.299254399
676	3.299151991
677	3.295537908
678	3.295464553
679	3.292354852
680	3.290305845
681	3.287879691
682	3.286228171
683	3.282483176
684	3.280960564
685	3.279482105
686	3.277073832
687	3.275579324
688	3.274206564
689	3.270314663
690	3.269373768
691	3.26891175
692	3.267649407
693	3.264333183
694	3.262263941
695	3.260264018
696	3.256900651
697	3.255661359
698	3.254272176
699	3.253070645
700	3.249228203
701	3.247959224
702	3.246700716
703	3.246631606
704	3.245418285
705	3.244211375
706	3.243979258
707	3.241195136
708	3.24044975
709	3.237923513
710	3.236065371
711	3.235737802
712	3.234887491
713	3.230893894
714	3.229089324
715	3.227726506
716	3.226286714
717	3.224088358
718	3.221859575
719	3.219129027
720	3.216859241
721	3.215607632
722	3.213955517
723	3.21246994
724	3.212368067
725	3.210780409
726	3.207473733
727	3.206195073
728	3.205212119
729	3.202998801
730	3.199517361
731	3.197857356
732	3.193814762
733	3.191964929
734	3.191699729
735	3.189905489
736	3.187242726
737	3.187136748
738	3.186881015
739	3.186155028
740	3.185391979
741	3.182894941
742	3.180367746
743	3.178621456
744	3.178556937
745	3.177851808
746	3.176895831
747	3.175845656
748	3.174982914
749	3.172948562
750	3.171765646
751	3.17076823
752	3.170493979
753	3.169875892
754	3.167329431
755	3.163723515
756	3.160715531
757	3.159811446
758	3.15645557
759	3.155799068
760	3.153757971
761	3.152908943
762	3.152515376
763	3.14889843
764	3.1476138
765	3.145948003
766	3.144768523
767	3.144612109
768	3.143658274
769	3.143443716
770	3.13944146
771	3.135945611
772	3.133742827
773	3.131747316
774	3.127758868
775	3.127077876
776	3.124959718
777	3.124016854
778	3.120496137
779	3.118159647
780	3.114873873
781	3.11483432
782	3.112861056
783	3.111631109
784	3.110837231
785	3.110176792
786	3.109159335
787	3.106914118
788	3.105011791
789	3.103835782
790	3.101841861
791	3.100753294
792	3.096028073
793	3.094750069
794	3.094427528
795	3.092274191
796	3.089522755
797	3.088952437
798	3.086717122
799	3.086598521
800	3.086538448
801	3.085588911
802	3.085444966
803	3.083612409
804	3.080150384
805	3.079791769
806	3.078199382
807	3.07561255
808	3.075232121
809	3.072416074
810	3.06914383
811	3.068638977
812	3.068148053
813	3.067590747
814	3.067246022
815	3.065716952
816	3.065551556
817	3.063537249
818	3.062835038
819	3.058871938
820	3.056922883
821	3.053990828
822	3.050896304
823	3.046603179
824	3.045706064
825	3.042971486
826	3.039451385
827	3.038074214
828	3.037281243
829	3.034634893
830	3.032298198
831	3.028642729
832	3.026696952
833	3.02534723
834	3.022240925
835	3.021419863
836	3.020908387
837	3.019570944
838	3.017830279
839	3.014219306
840	3.013040252
841	3.012812018
842	3.010892465
843	3.009072947
844	3.007004494
845	3.004496335
846	3.002215738
847	3.000200857
848	2.996514409
849	2.995156293
850	2.994376414
851	2.990995087
852	2.987677009
853	2.985371383
854	2.985279414
855	2.983125126
856	2.981977107
857	2.978523016
858	2.977738854
859	2.976633057
860	2.975672248
861	2.972224937
862	2.968859075
863	2.968797708
864	2.968119283
865	2.966362589
866	2.963260503
867	2.960809462
868	2.96025702
869	2.957113853
870	2.956131353
871	2.954669398
872	2.951036525
873	2.948304506
874	2.946418856
875	2.94344315
876	2.941762369
877	2.939306051
878	2.93860204
879	2.938450418
880	2.936004766
881	2.935109105
882	2.933731155
883	2.932119747
884	2.928899254
885	2.926351932
886	2.923255725
887	2.922863234
888	2.921993703
889	2.919638892
890	2.918180217
891	2.917019349
892	2.915096233
893	2.913112332
894	2.910582324
895	2.90988364
896	2.909500117
897	2.907454852
898	2.905351498
899	2.904405691
900	2.904312077
901	2.901721913
902	2.90073438
903	2.899595786
904	2.898644417
905	2.898599433
906	2.89769238
907	2.895481176
908	2.894536381
909	2.89171355
910	2.890871333
911	2.890265181
912	2.888106405
913	2.88603863
914	2.882720583
915	2.879444381
916	2.879221045
917	2.876396759
918	2.875654485
919	2.874384489
920	2.87303374
921	2.870729673
922	2.869472163
923	2.868295619
924	2.866980307
925	2.866750549
926	2.86543674
927	2.862548708
928	2.859956896
929	2.858508656
930	2.856022467
931	2.855264475
932	2.852908505
933	2.849984747
934	2.848247206
935	2.847717401
936	2.846921884
937	2.846531107
938	2.845235128
939	2.842672404
940	2.841866775
941	2.840099069
942	2.837738384
943	2.836927776
944	2.836159943
945	2.835077287
946	2.83381703
947	2.83265359
948	2.829637092
949	2.827345452
950	2.825407921
951	2.823145937
952	2.821162827
953	2.819609612
954	2.81834377
955	2.817147081
956	2.815451365
957	2.814398396
958	2.814222293
959	2.811143823
960	2.808607145
961	2.806445032
962	2.805780943
963	2.804064943
964	2.800617284
965	2.80027678
966	2.79805935
967	2.795304763
968	2.795185291
969	2.792886607
970	2.792576945
971	2.791263413
972	2.791218438
973	2.789525091
974	2.78863595
975	2.784872478
976	2.783900519
977	2.780755421
978	2.778166384
979	2.776833656
980	2.776095354
981	2.775395718
982	2.772775329
983	2.77113922
984	2.770351601
985	2.7684491
986	2.76836686
987	2.766993617
988	2.764859085
989	2.763637366
990	2.761241447
991	2.759527985
992	2.758689935
993	2.757493963
994	2.757434028
995	2.75534781
996	2.75319739
997	2.751545912
998	2.751430158
999	2.750967984
